timestamp,open,high,low,close,volume,trade_count,vwap,weekly change,monthly change,yearly change,relative_vol,rsi
2022-09-16 04:00:00+00:00,6.9,6.905,6.38,6.49,6694681,25128,6.5414,0.21082089552238803,0.01883830455259039,,2.9872275685686716,59.02473327406687
2022-09-19 04:00:00+00:00,6.32,6.71,6.31,6.68,4670289,18440,6.644561,0.2324723247232472,0.14383561643835607,,2.0839254408063677,61.040305872822955
2022-09-20 04:00:00+00:00,6.69,6.8,6.02,6.1,4805086,19261,6.168162,-0.008130081300813163,0.07017543859649122,,2.144073088552444,52.54351625665223
2022-09-21 04:00:00+00:00,6.11,6.44,5.95,6.06,2256226,15954,6.174641,-0.14647887323943665,0.08021390374331538,,1.0067485677243502,52.005857030358406
2022-09-22 04:00:00+00:00,6.02,6.17,5.51,5.61,3455799,24076,5.646033,-0.2219140083217752,-0.031088082901554404,,1.5420089537099748,46.269690274897
2022-09-23 04:00:00+00:00,5.51,5.685,5.42,5.54,1635753,12037,5.529106,-0.14637904468412943,-0.08278145695364236,,0.7298878702314435,45.43025940420047
2022-09-26 04:00:00+00:00,5.47,5.72,5.36,5.56,2273172,15486,5.560333,-0.16766467065868262,-0.027972027972028024,,1.014310027094403,45.73318732058848
2022-09-27 04:00:00+00:00,5.67,5.83,5.46,5.53,1821425,12588,5.583987,-0.09344262295081962,-0.0229681978798586,,0.8127364058242944,45.32672741219804
2022-09-28 04:00:00+00:00,5.53,5.83,5.5,5.81,1476739,10042,5.715529,-0.041254125412541254,0.03750000000000009,,0.6589343767657535,49.81028198739545
2022-09-29 04:00:00+00:00,5.69,5.78,5.375,5.44,1635695,10343,5.454293,-0.030303030303030276,-0.007299270072992692,,0.7298619901037755,44.604838482858234
2022-09-30 04:00:00+00:00,5.39,5.63,5.39,5.43,1132684,8310,5.491329,-0.019855595667870096,0.07524752475247531,,0.5054139056478774,44.46957372397148
2022-10-03 04:00:00+00:00,5.51,5.61,5.37,5.55,2122891,13054,5.512449,-0.0017985611510791255,0.10778443113772451,,0.947253277679148,46.563709903237324
2022-10-04 04:00:00+00:00,5.72,6.13,5.715,6.11,1823733,12881,5.935586,0.10488245931283902,0.17726396917148368,,0.8137662564218444,55.077604743618835
2022-10-05 04:00:00+00:00,6.0,6.155,5.835,6.08,1575147,10172,6.039411,0.04647160068846823,0.1280148423005567,,0.7028449216547044,54.57594281795285
2022-10-06 04:00:00+00:00,6.1,6.27,6.0715,6.18,1335728,10580,6.157608,0.13602941176470584,0.1861804222648753,,0.5960139856864121,56.01412133249911
2022-10-07 04:00:00+00:00,6.14,6.19,5.89,5.94,1094632,9170,5.979482,0.09392265193370175,0.10820895522388052,,0.48843475706123446,51.777101161231045
2022-10-10 04:00:00+00:00,5.93,5.97,5.63,5.64,1475271,10449,5.697221,0.016216216216216273,0.040590405904058935,,0.6582793418102928,46.99209494005634
2022-10-11 04:00:00+00:00,5.63,5.73,5.36,5.44,1773321,13578,5.476284,-0.10965630114566283,-0.11544715447154474,,0.7912719633873169,44.06818896913528
2022-10-12 04:00:00+00:00,5.41,5.46,5.24,5.36,1371536,9661,5.368735,-0.11842105263157887,-0.24507042253521116,,0.6119918410577594,42.91786187774481
2022-10-13 04:00:00+00:00,5.2,5.425,5.005,5.31,2313556,13039,5.278105,-0.14077669902912626,-0.2635228848821083,,1.0323297352969412,42.17683353821814
2022-10-14 04:00:00+00:00,5.43,5.43,4.88,4.9,2019826,13643,4.998276,-0.17508417508417506,-0.24499229583975346,,0.9012647370220905,36.59678240008051
2022-10-17 04:00:00+00:00,5.11,5.15,4.98,5.06,1899801,12165,5.057869,-0.1028368794326241,-0.24251497005988032,,0.8477084900676121,39.93639733613429
2022-10-18 04:00:00+00:00,5.23,5.34,4.94,5.0,1813543,13319,5.050128,-0.08088235294117652,-0.180327868852459,,0.8092193857160236,39.10457867580075
2022-10-19 04:00:00+00:00,4.95,4.965,4.74,4.76,1559645,11569,4.796052,-0.11194029850746279,-0.21452145214521445,,0.6959277882217668,35.884875114163904
